,id_prod,id_pais,prod_carb_porc_anual,prod_carbon,prod_gas_porc_anual,prod_gas,prod_petr_porc_anual,prod_petroleo
0,P-WRL-1980,WRL,-1.927,20968.074,1.322,14283.338,-4.524,35949.586
1,P-WRL-1981,WRL,2.276,21445.264,1.734,14530.981,-5.763,33877.828
2,P-WRL-1982,WRL,3.54,22204.449,0.458,14597.489,-3.955,32537.877
3,P-WRL-1983,WRL,-0.303,22137.211,0.894,14728.06,-1.277,32122.49
4,P-WRL-1984,WRL,4.375,23105.666,8.559,15988.618,1.96,32752.211
5,P-WRL-1985,WRL,5.067,24276.51,2.638,16410.344,-0.875,32465.697
6,P-WRL-1986,WRL,2.372,24852.295,2.586,16834.785,4.94,34069.387
7,P-WRL-1987,WRL,1.887,25321.266,5.012,17678.578,0.231,34148.074
8,P-WRL-1988,WRL,2.429,25936.305,4.408,18457.768,4.274,35607.57
9,P-WRL-1989,WRL,1.766,26394.463,3.347,19075.629,1.207,36037.492
10,P-WRL-1990,WRL,-0.19,26344.439,3.258,19697.166,1.913,36726.777
11,P-WRL-1991,WRL,-2.72,25627.955,1.333,19959.689,-0.27,36627.695
12,P-WRL-1992,WRL,-0.218,25572.031,0.294,20018.342,1.448,37157.973
13,P-WRL-1993,WRL,-3.012,24801.904,1.139,20246.299,-0.142,37105.148
14,P-WRL-1994,WRL,2.296,25371.334,1.463,20542.52,1.385,37619.203
15,P-WRL-1995,WRL,3.054,26146.303,1.66,20883.502,1.372,38135.512
16,P-WRL-1996,WRL,1.357,26501.012,4.867,21899.965,2.663,39151.238
17,P-WRL-1997,WRL,1.467,26889.879,-0.078,21882.973,2.231,40024.602
18,P-WRL-1998,WRL,-1.801,26405.461,2.648,22462.334,2.528,41036.301
19,P-WRL-1999,WRL,0.033,26414.121,2.851,23102.75,-2.266,40106.512
20,P-WRL-2000,WRL,1.468,26801.824,3.915,24007.168,4.337,41846.094
21,P-WRL-2001,WRL,4.24,27938.127,2.362,24574.18,-0.005,41844.203
22,P-WRL-2002,WRL,1.207,28275.338,2.336,25148.295,-1.206,41339.465
23,P-WRL-2003,WRL,7.334,30348.932,3.577,26047.807,4.44,43175.039
24,P-WRL-2004,WRL,8.674,32981.5,3.399,26933.047,5.008,45337.328
25,P-WRL-2005,WRL,6.279,35052.457,2.394,27577.768,0.855,45724.953
26,P-WRL-2006,WRL,5.109,36843.266,3.41,28518.285,0.892,46132.84
27,P-WRL-2007,WRL,4.391,38460.887,2.667,29278.777,-0.205,46038.387
28,P-WRL-2008,WRL,3.255,39712.684,3.66,30350.422,1.059,46525.742
29,P-WRL-2009,WRL,-0.065,39686.727,-3.101,29409.111,-2.479,45372.508
30,P-WRL-2010,WRL,5.581,41901.625,7.117,31502.205,1.996,46278.238
31,P-WRL-2011,WRL,7.296,44958.684,3.399,32572.861,0.774,46636.484
32,P-WRL-2012,WRL,1.155,45478.16,2.114,33261.562,2.734,47911.355
33,P-WRL-2013,WRL,1.794,46294.16,1.179,33653.816,0.159,47987.32
34,P-WRL-2014,WRL,-0.342,46135.68,2.019,34333.227,2.355,49117.508
35,P-WRL-2015,WRL,-2.555,44957.023,2.265,35110.723,3.351,50763.469
36,P-WRL-2016,WRL,-5.196,42621.266,0.959,35447.312,0.338,50934.887
37,P-WRL-2017,WRL,2.478,43677.504,3.632,36734.891,0.154,51013.43
38,P-WRL-2018,WRL,5.06,45887.418,4.851,38516.785,2.291,52181.949
39,P-WRL-2019,WRL,1.178,46428.0,3.013,39677.34,-0.206,52074.574
40,P-WRL-2020,WRL,-5.082,44068.473,-2.677,38615.152,-6.849,48508.016
41,P-WRL-2021,WRL,5.632,46550.605,4.541,40368.828,1.209,49094.488
